player_name,team,season,points,rebounds,assists,turnovers,minutes,fg_pct,plus_minus,playoffs_flag
Mikal Bridges,NYK,2025,17.6,3.2,3.7,1.6,37.0,0.5,0.0,False
Miles Bridges,CHO,2025,20.3,7.5,3.9,2.1,31.7,0.431,0.0,False
Oshae Brissett,PHI,2025,8.7,3.7,0.7,1.3,23.7,0.487,0.0,False
Malcolm Brogdon,WAS,2025,12.7,3.8,4.1,1.6,23.5,0.433,0.0,False
Dillon Brooks,HOU,2025,14.0,3.7,1.7,1.0,31.8,0.429,0.0,False
Keion Brooks Jr.,NOP,2025,10.1,4.1,0.9,0.9,23.7,0.486,0.0,False
Bruce Brown,2TM,2025,8.3,4.0,2.0,1.0,22.5,0.421,0.0,False
Bruce Brown,TOR,2025,8.4,3.8,1.6,1.1,19.6,0.435,0.0,False
Bruce Brown,NOP,2025,8.2,4.2,2.4,0.9,24.7,0.41,0.0,False
Jaylen Brown,BOS,2025,22.2,5.8,4.5,2.6,34.3,0.463,0.0,False
Kobe Brown,LAC,2025,1.9,1.6,0.6,0.3,6.8,0.458,0.0,False
Moses Brown,2TM,2025,5.8,3.4,0.2,0.8,9.2,0.694,0.0,False
Moses Brown,IND,2025,3.2,1.4,0.0,0.7,5.1,0.65,0.0,False
Moses Brown,DAL,2025,11.8,7.8,0.5,1.3,18.3,0.724,0.0,False
Jalen Brunson,NYK,2025,26.0,2.9,7.3,2.5,35.4,0.488,0.0,False
Thomas Bryant,2TM,2025,6.5,3.8,0.8,0.5,14.6,0.508,0.0,False
Thomas Bryant,MIA,2025,4.1,3.2,0.4,0.2,11.5,0.429,0.0,False
Thomas Bryant,IND,2025,6.9,3.9,0.9,0.5,15.1,0.515,0.0,False
Kobe Bufkin,ATL,2025,5.3,2.1,1.7,0.8,12.4,0.383,0.0,False
Alec Burks,MIA,2025,7.3,2.5,1.1,0.6,17.6,0.424,0.0,False
Jared Butler,2TM,2025,9.0,1.8,3.7,1.3,17.4,0.448,0.0,False
Jared Butler,WAS,2025,6.9,1.3,2.6,0.9,11.3,0.483,0.0,False
Jared Butler,PHI,2025,11.5,2.5,4.9,1.8,24.4,0.426,0.0,False
Jimmy Butler,2TM,2025,17.5,5.4,5.4,1.3,31.7,0.504,0.0,False
Jimmy Butler,MIA,2025,17.0,5.2,4.8,1.2,30.6,0.54,0.0,False
Jimmy Butler,GSW,2025,17.9,5.5,5.9,1.5,32.7,0.476,0.0,False
Matas Buzelis,CHI,2025,8.6,3.5,1.0,0.9,18.9,0.454,0.0,False
Jamal Cain,NOP,2025,5.3,2.3,0.6,0.6,13.6,0.43,0.0,False
Kentavious Caldwell-Pope,ORL,2025,8.7,2.2,1.8,0.8,29.6,0.439,0.0,False
Toumani Camara,POR,2025,11.3,5.8,2.2,1.4,32.7,0.458,0.0,False
Vlatko Čančar,DEN,2025,1.8,2.5,0.7,0.8,10.5,0.385,0.0,False
Clint Capela,ATL,2025,8.9,8.5,1.1,0.9,21.4,0.559,0.0,False
Branden Carlson,OKC,2025,3.8,1.7,0.4,0.2,7.7,0.443,0.0,False
Bub Carrington,WAS,2025,9.8,4.2,4.4,1.7,30.0,0.401,0.0,False
Devin Carter,SAC,2025,3.8,2.1,1.1,0.5,11.0,0.37,0.0,False
Jevon Carter,CHI,2025,4.3,1.1,1.1,0.3,8.9,0.377,0.0,False
Wendell Carter Jr.,ORL,2025,9.1,7.2,2.0,1.1,25.9,0.46,0.0,False
D.J. Carton,TOR,2025,0.8,1.0,0.8,1.0,8.3,0.143,0.0,False
Alex Caruso,OKC,2025,7.1,2.9,2.5,0.7,19.3,0.446,0.0,False
Colin Castleton,3TM,2025,4.7,4.7,1.1,0.9,16.6,0.469,0.0,False
Colin Castleton,MEM,2025,1.4,0.9,0.0,0.1,4.6,0.2,0.0,False
Colin Castleton,TOR,2025,7.2,6.9,1.6,1.9,26.2,0.5,0.0,False
Colin Castleton,PHI,2025,6.0,7.4,2.0,0.2,19.6,0.5,0.0,False
Stephon Castle,SAS,2025,14.7,3.7,4.1,2.2,26.7,0.428,0.0,False
Justin Champagnie,WAS,2025,8.8,5.7,1.0,0.9,21.6,0.511,0.0,False
Julian Champagnie,SAS,2025,9.9,3.9,1.4,0.9,23.6,0.415,0.0,False
Ulrich Chomche,TOR,2025,0.7,1.1,0.3,0.3,4.6,0.4,0.0,False
Cam Christie,LAC,2025,1.4,0.9,0.5,0.2,4.5,0.292,0.0,False
Josh Christopher,MIA,2025,2.0,0.6,0.6,0.4,4.9,0.355,0.0,False
Max Christie,2TM,2025,9.6,3.3,1.9,1.1,27.3,0.427,0.0,False
Max Christie,LAL,2025,8.5,2.7,1.4,0.8,25.1,0.444,0.0,False
Max Christie,DAL,2025,11.2,4.2,2.5,1.5,30.4,0.411,0.0,False
Sidy Cissoko,2TM,2025,1.5,1.0,0.7,0.5,5.2,0.433,0.0,False
Sidy Cissoko,SAS,2025,1.3,0.6,0.4,0.1,3.2,0.5,0.0,False
Sidy Cissoko,POR,2025,2.0,2.2,1.8,1.8,12.0,0.333,0.0,False
Brandon Clarke,MEM,2025,8.3,5.1,1.0,0.6,18.9,0.621,0.0,False
Jaylen Clark,MIN,2025,4.1,1.3,0.7,0.2,13.1,0.467,0.0,False
Jordan Clarkson,UTA,2025,16.2,3.2,3.7,2.3,26.0,0.408,0.0,False
Nic Claxton,BRK,2025,10.3,7.4,2.2,1.2,26.9,0.563,0.0,False
Donovan Clingan,POR,2025,6.5,7.9,1.1,1.1,19.8,0.539,0.0,False
Noah Clowney,BRK,2025,9.1,3.9,0.9,1.0,22.7,0.358,0.0,False
Amir Coffey,LAC,2025,9.7,2.2,1.1,0.6,24.3,0.471,0.0,False
Isaiah Collier,UTA,2025,8.7,3.3,6.3,2.9,25.9,0.422,0.0,False
John Collins,UTA,2025,19.0,8.2,2.0,2.6,30.5,0.527,0.0,False
Yuri Collins,GSW,2025,1.0,1.5,2.0,0.0,8.0,0.333,0.0,False
Zach Collins,2TM,2025,6.4,4.5,1.7,0.9,15.3,0.507,0.0,False
Zach Collins,SAS,2025,4.6,2.8,1.4,0.6,11.8,0.462,0.0,False
Zach Collins,CHI,2025,8.6,6.7,2.1,1.3,19.7,0.541,0.0,False
Mike Conley,MIN,2025,8.2,2.6,4.5,1.1,24.7,0.4,0.0,False
Pat Connaughton,MIL,2025,5.3,2.7,1.7,0.6,14.7,0.469,0.0,False
Bilal Coulibaly,WAS,2025,12.3,5.0,3.4,2.1,33.0,0.421,0.0,False
Ricky Council IV,PHI,2025,7.3,2.9,1.3,0.7,17.1,0.382,0.0,False
Torrey Craig,2TM,2025,4.2,2.8,0.7,0.3,12.1,0.422,0.0,False
Torrey Craig,CHI,2025,6.9,2.8,0.6,0.0,12.6,0.489,0.0,False
Torrey Craig,BOS,2025,2.7,2.8,0.7,0.5,11.8,0.356,0.0,False
Isaiah Crawford,SAC,2025,0.9,0.5,0.1,0.1,3.1,0.455,0.0,False
Jae Crowder,SAC,2025,2.6,2.2,0.7,0.4,11.4,0.318,0.0,False
Cui Yongxi,BRK,2025,0.6,0.4,0.0,0.0,2.0,0.143,0.0,False
Cade Cunningham,DET,2025,26.1,6.1,9.1,4.4,35.0,0.469,0.0,False
Seth Curry,CHO,2025,6.5,1.7,0.9,0.5,15.6,0.478,0.0,False
Stephen Curry,GSW,2025,24.5,4.4,6.0,2.9,32.2,0.448,0.0,False
Pacome Dadiet,NYK,2025,1.7,1.0,0.3,0.2,6.2,0.323,0.0,False
Dyson Daniels,ATL,2025,14.1,5.9,4.4,2.0,33.8,0.493,0.0,False
Tristan Da Silva,ORL,2025,7.2,3.3,1.5,0.8,22.0,0.412,0.0,False
Anthony Davis,2TM,2025,24.7,11.6,3.5,2.2,33.5,0.516,0.0,False
Anthony Davis,LAL,2025,25.7,11.9,3.4,2.2,34.3,0.528,0.0,False
Anthony Davis,DAL,2025,20.0,10.1,4.4,2.2,29.6,0.461,0.0,False
JD Davison,BOS,2025,2.1,0.8,0.8,0.8,5.8,0.353,0.0,False
